Date,Day,Month,MonthName,Quarter,Year,Weekday,IsWeekend,Season,Holiday,DateRaw,IsHoliday
2025-01-01,1,1,January,Q1,2025,Wednesday,No,Winter,New Year's Day,2025-01-01,1
2025-01-02,2,1,January,Q1,2025,Thursday,No,Winter,None,2025-01-02,0
2025-01-03,3,1,January,Q1,2025,Friday,No,Winter,None,2025-01-03,0
2025-01-04,4,1,January,Q1,2025,Saturday,Yes,Winter,None,2025-01-04,0
2025-01-05,5,1,January,Q1,2025,Sunday,Yes,Winter,None,2025-01-05,0
2025-01-06,6,1,January,Q1,2025,Monday,No,Winter,None,2025-01-06,0
2025-01-07,7,1,January,Q1,2025,Tuesday,No,Winter,None,2025-01-07,0
2025-01-08,8,1,January,Q1,2025,Wednesday,No,Winter,None,2025-01-08,0
2025-01-09,9,1,January,Q1,2025,Thursday,No,Winter,None,2025-01-09,0
2025-01-10,10,1,January,Q1,2025,Friday,No,Winter,None,2025-01-10,0
2025-01-11,11,1,January,Q1,2025,Saturday,Yes,Winter,None,2025-01-11,0
2025-01-12,12,1,January,Q1,2025,Sunday,Yes,Winter,None,2025-01-12,0
2025-01-13,13,1,January,Q1,2025,Monday,No,Winter,None,2025-01-13,0
2025-01-14,14,1,January,Q1,2025,Tuesday,No,Winter,None,2025-01-14,0
2025-01-15,15,1,January,Q1,2025,Wednesday,No,Winter,None,2025-01-15,0
2025-01-16,16,1,January,Q1,2025,Thursday,No,Winter,None,2025-01-16,0
2025-01-17,17,1,January,Q1,2025,Friday,No,Winter,None,2025-01-17,0
2025-01-18,18,1,January,Q1,2025,Saturday,Yes,Winter,None,2025-01-18,0
2025-01-19,19,1,January,Q1,2025,Sunday,Yes,Winter,None,2025-01-19,0
2025-01-20,20,1,January,Q1,2025,Monday,No,Winter,None,2025-01-20,0
2025-01-21,21,1,January,Q1,2025,Tuesday,No,Winter,None,2025-01-21,0
2025-01-22,22,1,January,Q1,2025,Wednesday,No,Winter,None,2025-01-22,0
2025-01-23,23,1,January,Q1,2025,Thursday,No,Winter,None,2025-01-23,0
2025-01-24,24,1,January,Q1,2025,Friday,No,Winter,None,2025-01-24,0
2025-01-25,25,1,January,Q1,2025,Saturday,Yes,Winter,None,2025-01-25,0
2025-01-26,26,1,January,Q1,2025,Sunday,Yes,Winter,None,2025-01-26,0
2025-01-27,27,1,January,Q1,2025,Monday,No,Winter,None,2025-01-27,0
2025-01-28,28,1,January,Q1,2025,Tuesday,No,Winter,None,2025-01-28,0
2025-01-29,29,1,January,Q1,2025,Wednesday,No,Winter,None,2025-01-29,0
2025-01-30,30,1,January,Q1,2025,Thursday,No,Winter,None,2025-01-30,0
2025-01-31,31,1,January,Q1,2025,Friday,No,Winter,None,2025-01-31,0
2025-02-01,1,2,February,Q1,2025,Saturday,Yes,Winter,None,2025-02-01,0
2025-02-02,2,2,February,Q1,2025,Sunday,Yes,Winter,None,2025-02-02,0
2025-02-03,3,2,February,Q1,2025,Monday,No,Winter,None,2025-02-03,0
2025-02-04,4,2,February,Q1,2025,Tuesday,No,Winter,None,2025-02-04,0
2025-02-05,5,2,February,Q1,2025,Wednesday,No,Winter,None,2025-02-05,0
2025-02-06,6,2,February,Q1,2025,Thursday,No,Winter,None,2025-02-06,0
2025-02-07,7,2,February,Q1,2025,Friday,No,Winter,None,2025-02-07,0
2025-02-08,8,2,February,Q1,2025,Saturday,Yes,Winter,None,2025-02-08,0
2025-02-09,9,2,February,Q1,2025,Sunday,Yes,Winter,None,2025-02-09,0
2025-02-10,10,2,February,Q1,2025,Monday,No,Winter,None,2025-02-10,0
2025-02-11,11,2,February,Q1,2025,Tuesday,No,Winter,None,2025-02-11,0
2025-02-12,12,2,February,Q1,2025,Wednesday,No,Winter,None,2025-02-12,0
2025-02-13,13,2,February,Q1,2025,Thursday,No,Winter,None,2025-02-13,0
2025-02-14,14,2,February,Q1,2025,Friday,No,Winter,Valentine's Day,2025-02-14,1
2025-02-15,15,2,February,Q1,2025,Saturday,Yes,Winter,None,2025-02-15,0
2025-02-16,16,2,February,Q1,2025,Sunday,Yes,Winter,None,2025-02-16,0
2025-02-17,17,2,February,Q1,2025,Monday,No,Winter,None,2025-02-17,0
2025-02-18,18,2,February,Q1,2025,Tuesday,No,Winter,None,2025-02-18,0
2025-02-19,19,2,February,Q1,2025,Wednesday,No,Winter,None,2025-02-19,0
2025-02-20,20,2,February,Q1,2025,Thursday,No,Winter,None,2025-02-20,0
2025-02-21,21,2,February,Q1,2025,Friday,No,Winter,None,2025-02-21,0
2025-02-22,22,2,February,Q1,2025,Saturday,Yes,Winter,None,2025-02-22,0
2025-02-23,23,2,February,Q1,2025,Sunday,Yes,Winter,None,2025-02-23,0
2025-02-24,24,2,February,Q1,2025,Monday,No,Winter,None,2025-02-24,0
2025-02-25,25,2,February,Q1,2025,Tuesday,No,Winter,None,2025-02-25,0
2025-02-26,26,2,February,Q1,2025,Wednesday,No,Winter,None,2025-02-26,0
2025-02-27,27,2,February,Q1,2025,Thursday,No,Winter,None,2025-02-27,0
2025-02-28,28,2,February,Q1,2025,Friday,No,Winter,None,2025-02-28,0
2025-03-01,1,3,March,Q1,2025,Saturday,Yes,Spring,None,2025-03-01,0
2025-03-02,2,3,March,Q1,2025,Sunday,Yes,Spring,None,2025-03-02,0
2025-03-03,3,3,March,Q1,2025,Monday,No,Spring,None,2025-03-03,0
2025-03-04,4,3,March,Q1,2025,Tuesday,No,Spring,None,2025-03-04,0
2025-03-05,5,3,March,Q1,2025,Wednesday,No,Spring,None,2025-03-05,0
2025-03-06,6,3,March,Q1,2025,Thursday,No,Spring,None,2025-03-06,0
2025-03-07,7,3,March,Q1,2025,Friday,No,Spring,None,2025-03-07,0
2025-03-08,8,3,March,Q1,2025,Saturday,Yes,Spring,None,2025-03-08,0
2025-03-09,9,3,March,Q1,2025,Sunday,Yes,Spring,None,2025-03-09,0
