TransactionID,CustomerID,ProductID,PurchaseDate,Quantity,UnitPrice,TotalAmount,StoreLocation,PaymentType,PurchaseDateRaw,ProductName,Category,Department,CustomerSegment,AgeGroup,LoyaltyTier,Region,BasketItemCount,BasketValue,BasketSizeSegment
T00137,C033,P020,2025-07-12,1,1.6,1.6,Westgate,Cash,07/12/2025,Cola,Beverages,Grocery,Premium Shopper,41-60,Not Enrolled,Central,4,23.7,Large
T00021,C029,P034,2025-02-16,1,3.9,3.9,Hilltop,Mobile,02/16/2025,Cereal,Pantry,Grocery,Premium Shopper,41-60,Silver,East,3,10.4,Small
T00264,C017,P041,2025-11-07,1,4.6,4.6,Downtown,Mobile,11/07/2025,Ice Cream,Frozen,Grocery,Senior,60+,Bronze,North,5,22.4,Large
T00257,C027,P025,2025-11-09,2,2.2,4.4,Westgate,Card,2025-11-09,Energy Drink,Beverages,Grocery,Family,41-60,Silver,East,2,9.9,Small
T00260,C012,P024,2025-11-06,2,3.6,7.2,Riverside,Cash,2025-11-06,Tea Bags,Beverages,Grocery,Young Singles,26-40,Not Enrolled,North,3,20.7,Small
T00023,C025,P035,2025-02-19,1,2.1,2.1,Westgate,Card,2025-02-19,Sugar,Pantry,Grocery,Budget Shopper,26-40,Not Enrolled,Central,4,17.7,Large
T00108,C035,P024,2025-06-10,1,3.6,3.6,Downtown,Mobile,2025-06-10,Tea Bags,Beverages,Grocery,Senior,60+,Not Enrolled,South,5,25.1,Large
T00261,C005,P023,2025-11-22,2,8.9,17.8,Hilltop,Card,11/22/2025,Coffee Beans,Beverages,Grocery,Young Singles,26-40,Not Enrolled,South,3,23.1,Small
T00124,C031,P036,2025-06-05,1,7.8,7.8,Riverside,Cash,05-06-2025,Olive Oil,Pantry,Grocery,Student,18-25,Bronze,East,3,16.8,Small
T00068,C018,P010,2025-04-06,2,3.2,6.4,Hilltop,Voucher,2025-04-06,Greek Yogurt,Dairy,Fresh Food,Young Singles,26-40,Bronze,East,2,9.7,Small
T00022,C009,P005,2025-02-03,3,0.9,2.7,Riverside,Card,2025-02-03,Onions,Produce,Fresh Food,Senior,60+,Silver,North,4,12.7,Large
T00112,C045,P014,2025-06-19,3,2.4,7.2,Downtown,Card,2025-06-19,Whole Wheat Bread,Bakery,Fresh Food,Student,18-25,Silver,East,3,20.1,Small
T00273,C024,P025,2025-11-14,1,2.2,2.2,Downtown,Mobile,2025-11-14,Energy Drink,Beverages,Grocery,Student,18-25,Not Enrolled,West,6,31.6,Large
T00271,C033,P025,2025-11-22,2,2.2,4.4,Hilltop,Card,2025-11-22,Energy Drink,Beverages,Grocery,Premium Shopper,41-60,Not Enrolled,Central,6,20.6,Large
T00109,C026,P010,2025-06-04,2,3.2,6.4,Hilltop,Mobile,2025-06-04,Greek Yogurt,Dairy,Fresh Food,Family,41-60,Silver,North,6,42.0,Large
T00262,C043,P035,2025-11-20,2,2.1,4.2,Hilltop,Mobile,2025-11-20,Sugar,Pantry,Grocery,Student,18-25,Bronze,East,3,14.3,Small
T00226,C006,P032,2025-10-25,2,2.7,5.4,Riverside,Cash,2025-10-25,Pasta Sauce,Pantry,Grocery,Premium Shopper,41-60,Bronze,Central,3,16.8,Small
T00180,C044,P002,2025-08-18,1,1.2,1.2,Riverside,Mobile,18-08-2025,Apples,Produce,Fresh Food,Budget Shopper,26-40,Not Enrolled,North,5,32.9,Large
T00083,C052,P029,2025-05-10,1,2.0,2.0,Westgate,Mobile,2025-05-10,Popcorn,Snacks,Grocery,Young Singles,26-40,Not Enrolled,East,4,14.4,Large
T00280,C033,P040,2025-12-03,3,5.2,15.6,Hilltop,Card,2025-12-03,Frozen Pizza,Frozen,Grocery,Premium Shopper,41-60,Not Enrolled,Central,3,33.0,Small
T00167,C053,P014,2025-08-18,5,2.4,12.0,Hilltop,Cash,08/18/2025,Whole Wheat Bread,Bakery,Fresh Food,Senior,60+,Not Enrolled,South,4,23.2,Large
T00071,C004,P008,2025-04-20,1,2.1,2.1,Downtown,Card,20-04-2025,Whole Milk,Dairy,Fresh Food,Young Singles,26-40,Bronze,North,4,22.6,Large
T00039,C021,P018,2025-03-24,1,7.2,7.2,Eastpark,Card,2025-03-24,Ground Beef,Meat,Fresh Food,Family,41-60,Bronze,South,6,40.7,Large
T00048,C056,P004,2025-03-23,1,1.4,1.4,Downtown,Card,2025-03-23,Lettuce,Produce,Fresh Food,Premium Shopper,41-60,Silver,South,6,35.9,Large
T00291,C035,P033,2025-12-21,2,4.2,8.4,Riverside,Voucher,2025-12-21,Rice,Pantry,Grocery,Senior,60+,Not Enrolled,South,3,17.7,Small
T00272,C043,P050,2025-11-16,2,2.2,4.4,Riverside,Mobile,2025-11-16,Hand Soap,Personal Care,Non-Food,Student,18-25,Bronze,East,1,4.4,Single
T00132,C037,P025,2025-06-11,5,2.2,11.0,Eastpark,Mobile,06/11/2025,Energy Drink,Beverages,Grocery,Young Singles,26-40,Not Enrolled,South,2,14.2,Small
T00172,C030,P041,2025-08-24,2,4.6,9.2,Hilltop,Mobile,08/24/2025,Ice Cream,Frozen,Grocery,Family,41-60,Bronze,West,3,18.7,Small
T00201,C022,P002,2025-09-01,3,1.2,3.6,Eastpark,Card,2025-09-01,Apples,Produce,Fresh Food,Student,18-25,Not Enrolled,North,4,21.6,Large
T00165,C011,P040,2025-08-18,1,5.2,5.2,Westgate,Card,2025-08-18,Frozen Pizza,Frozen,Grocery,Senior,60+,Not Enrolled,East,5,34.5,Large
T00307,C005,P035,2025-12-06,3,2.1,6.3,Eastpark,Card,2025-12-06,Sugar,Pantry,Grocery,Young Singles,26-40,Not Enrolled,South,2,17.1,Small
T00093,C029,P028,2025-05-12,1,2.9,2.9,Downtown,Mobile,12-05-2025,Cookies,Snacks,Grocery,Premium Shopper,41-60,Silver,East,4,20.7,Large
T00155,C021,P011,2025-07-08,4,3.8,15.2,Westgate,Card,07/08/2025,Butter,Dairy,Fresh Food,Family,41-60,Bronze,South,4,22.3,Large
T00113,C034,P041,2025-06-05,3,4.6,13.8,Riverside,Cash,05-06-2025,Ice Cream,Frozen,Grocery,Budget Shopper,26-40,Gold,West,3,19.4,Small
T00029,C042,P030,2025-02-17,3,2.3,6.9,Hilltop,Card,2025-02-17,Pretzels,Snacks,Grocery,Student,18-25,Silver,East,3,16.3,Small
T00164,C008,P037,2025-07-10,2,1.1,2.2,Riverside,Card,2025-07-10,Canned Beans,Pantry,Grocery,Budget Shopper,26-40,Not Enrolled,Central,3,14.0,Small
T00063,C042,P011,2025-04-28,1,3.8,3.8,Eastpark,Mobile,2025-04-28,Butter,Dairy,Fresh Food,Student,18-25,Silver,East,3,8.9,Small
