CustomerID,CustomerSegment,AgeGroup,LoyaltyTier,Region
C001,Student,18-25,None,East
C002,Family,41-60,None,North
C003,Student,18-25,Silver,Central
C004,Young Singles,26-40,Bronze,North
C005,Young Singles,26-40,None,South
C006,Premium Shopper,41-60,Bronze,Central
C007,Family,41-60,Silver,Central
C008,Budget Shopper,26-40,None,Central
C009,Senior,60+,Silver,North
C010,Family,41-60,Silver,East
C011,Senior,60+,None,East
C012,Young Singles,26-40,None,North
C013,Senior,60+,Silver,Central
C014,Senior,60+,Silver,West
C015,Premium Shopper,41-60,None,West
C016,Young Singles,26-40,Bronze,Central
C017,Senior,60+,Bronze,North
C018,Young Singles,26-40,Bronze,East
C019,Young Singles,26-40,Silver,North
C020,Budget Shopper,26-40,None,East
C021,Family,41-60,Bronze,South
C022,Student,18-25,None,North
C023,Premium Shopper,41-60,Bronze,Central
C024,Student,18-25,None,West
C025,Budget Shopper,26-40,None,Central
C026,Family,41-60,Silver,North
C027,Family,41-60,Silver,East
C028,Budget Shopper,26-40,None,South
C029,Premium Shopper,41-60,Silver,East
C030,Family,41-60,Bronze,West
C031,Student,18-25,Bronze,East
C032,Family,41-60,None,Central
C033,Premium Shopper,41-60,None,Central
C034,Budget Shopper,26-40,Gold,West
C035,Senior,60+,None,South
C036,Premium Shopper,41-60,Bronze,North
C037,Young Singles,26-40,None,South
C038,Student,18-25,Bronze,North
C039,Budget Shopper,26-40,Bronze,West
C040,Premium Shopper,41-60,None,Central
C041,Young Singles,26-40,Silver,North
C042,Student,18-25,Silver,East
C043,Student,18-25,Bronze,East
C044,Budget Shopper,26-40,None,North
C045,Student,18-25,Silver,East
C046,Premium Shopper,41-60,Silver,Central
C047,Young Singles,26-40,Silver,East
C048,Student,18-25,Bronze,South
C049,Family,41-60,Bronze,South
C050,Premium Shopper,41-60,Gold,Central
C051,Young Singles,26-40,Bronze,West
C052,Young Singles,26-40,None,East
C053,Senior,60+,None,South
C054,Premium Shopper,41-60,Gold,North
C055,Student,18-25,Bronze,North
C056,Premium Shopper,41-60,Silver,South
C057,Student,18-25,Bronze,Central
C058,Family,41-60,None,Central
C059,Budget Shopper,26-40,Gold,Central
C060,Student,18-25,Silver,East
