TransactionID,CustomerID,ProductID,ProductName,ProductCategory,PurchaseDate,Quantity,UnitPrice,TotalAmount,CustomerSegment,StoreLocation,PaymentType
T00137,C033,P020,Cola,Beverages,07/12/2025,1,1.60,1.60,Premium Shopper,Westgate,Cash
T00021,C029,P034,Cereal,Pantry,02/16/2025,1,3.90,3.90,Premium Shopper,Hilltop,Mobile
T00264,C017,P041,Ice Cream,Frozen,11/07/2025,1,4.60,4.60,Senior,Downtown,Mobile
T00257,C027,P025,Energy Drink,BEVERAGES,2025-11-09,2,2.20,4.40,Family,Westgate,Card
T00260,C012,P024,Tea Bags,BEVERAGES,2025-11-06,2,3.60,,Young Singles,Riverside,Cash
T00023,C025,P035,Sugar,Pantry,2025-02-19,1,2.10,2.10,Budget Shopper,Westgate,Card
T00108,C035,P024,Tea Bags,Beverages,2025-06-10,1,3.60,3.60,Senior,Downtown,Mobile
T00261,C005,P023,Coffee Beans,Beverages,11/22/2025,2,8.90,17.80,Young Singles,Hilltop,Card
T00124,C031,P036,Olive Oil,Pantry,05-06-2025,1,$7.80,$7.80,Student,Riverside,Cash
T00068,C018,P010,Greek Yogurt,DAIRY,2025-04-06,2,3.20,6.40,Young Singles,Hilltop,Voucher
T00022,C009,P005,Onions,Produce,2025-02-03,3,0.90,2.70,Senior,Riverside,Card
T00112,C045,P014,Whole Wheat Bread,BAKERY,2025-06-19,3,2.40,7.20,Student,Downtown,Card
T00273,C024,P025,Energy Drink,Beverages,2025-11-14,1,2.20,2.20,Student,Downtown,Mobile
T00271,C033,P025,Energy Drink,Beverages,2025-11-22,2,2.20,4.40,Premium Shopper,Hilltop,Card
T00109,C026,P010,Greek Yogurt,Dairy,2025-06-04,2,3.20,6.40,Family,Hilltop,Mobile
T00262,C043,P035,Sugar,Pantry,2025-11-20,,2.10,,Student,Hilltop,Mobile
T00226,C006,P032,Pasta Sauce,Pantry,2025-10-25,2,2.70,5.40,Premium Shopper,Riverside,Cash
T00180,C044,P002,Apples,Produce,18-08-2025,1,1.20,1.20,Budget Shopper,Riverside,Mobile
T00083,C052,P029,Popcorn,Snacks,2025-05-10,1,2.00,2.00,Young Singles,Westgate,Mobile
T00280,C033,P040,Frozen Pizza,Frozen,2025-12-03,3,5.20,15.60,Premium Shopper,Hilltop,Card
T00167,C053,P014,Whole Wheat Bread,Bakery,08/18/2025,5,2.40,12.00,Senior,Hilltop,Cash
T00071,C004,P008,Whole Milk,Dairy,20-04-2025,1,2.10,2.10,Young Singles,Downtown,Card
T00039,C021,P018,Ground Beef,Meat,2025-03-24,1,7.20,7.20,Family,Eastpark,Card
T00048,C056,P004,Lettuce,Produce,2025-03-23,1,1.40,1.40,Premium Shopper,Downtown,Card
T00291,C035,P033,Rice,Pantry,2025-12-21,2,4.20,8.40,Senior,Riverside,Voucher
T00272,C043,P050,Hand Soap,Personal Care,2025-11-16,2,2.20,4.40,Student,Riverside,Mobile
T00132,C037,P025,Energy Drink,Beverages,06/11/2025,5,2.20,11.00,Young Singles,Eastpark,Mobile
T00172,C030,P041,Ice Cream,Frozen,08/24/2025,2,4.60,9.20,Family,Hilltop,Mobile
T00201,C022,P002,Apples,Produce,2025-09-01,3,1.20,3.60,Student,Eastpark,Card
T00165,C011,P040,Frozen Pizza,Frozen,2025-08-18,1,5.20,5.20,Senior,Westgate,Card
T00307,C005,P035,Sugar,Pantry,2025-12-06,3,2.10,6.30,Young Singles,Eastpark,Card
T00093,C029,P028,Cookies,Snacks,12-05-2025,1,2.90,2.90,Premium Shopper,Downtown,Mobile
T00155,C021,P011,Butter,Dairy,07/08/2025,4,3.80,15.20,Family,Westgate,Card
T00113,C034,P041,Ice Cream,Frozen,05-06-2025,3,4.60,13.80,Budget Shopper,Riverside,Cash
T00029,C042,P030,Pretzels,Snacks,2025-02-17,3,2.30,6.90,Student,Hilltop,Card
T00164,C008,P037,Canned Beans,Pantry,2025-07-10,2,1.10,2.20,Budget Shopper,Riverside,Card
T00063,C042,P011,Butter,Dairy,2025-04-28,1,3.80,3.80,Student,Eastpark,Mobile
T00248,C004,P035,Sugar,Pantry,11/22/2025,3,2.10,6.30,Young Singles,Riverside,Card
T00229,C057,P007,Avocado,Produce,2025-10-13,1,1.50,1.50,Student,Hilltop,Mobile
T00009,C043,P017,Chicken Breast,Meat,2025-01-01,2,6.50,13.00,Student,Eastpark,Card
