TransactionID,CustomerID,ProductID,ProductName,Category,Department,PurchaseDate,Quantity,UnitPrice,TotalAmount,CustomerSegment,AgeGroup,LoyaltyTier,Region,StoreLocation,PaymentType,BasketItemCount,BasketValue,BasketSizeSegment
T00009,C043,P007,Avocado,Produce,Fresh Food,2025-01-01,2,1.5,3.0,Student,18-25,Bronze,East,Eastpark,Card,6,57.7,Large
T00009,C043,P009,Cheddar Cheese,Dairy,Fresh Food,2025-01-01,1,4.5,4.5,Student,18-25,Bronze,East,Eastpark,Card,6,57.7,Large
T00009,C043,P017,Chicken Breast,Meat,Fresh Food,2025-01-01,2,6.5,13.0,Student,18-25,Bronze,East,Eastpark,Card,6,57.7,Large
T00009,C043,P036,Olive Oil,Pantry,Grocery,2025-01-01,2,7.8,15.6,Student,18-25,Bronze,East,Eastpark,Card,6,57.7,Large
T00009,C043,P042,Frozen Vegetables,Frozen,Grocery,2025-01-01,1,2.4,2.4,Student,18-25,Bronze,East,Eastpark,Card,6,57.7,Large
T00009,C043,P048,Shampoo,Personal Care,Non-Food,2025-01-01,4,4.8,19.2,Student,18-25,Bronze,East,Eastpark,Card,6,57.7,Large
T00010,C001,P029,Popcorn,Snacks,Grocery,2025-01-02,2,2.0,4.0,Student,18-25,Not Enrolled,East,Hilltop,Mobile,2,8.8,Small
T00010,C001,P048,Shampoo,Personal Care,Non-Food,2025-01-02,1,4.8,4.8,Student,18-25,Not Enrolled,East,Hilltop,Mobile,2,8.8,Small
T00004,C029,P001,Bananas,Produce,Fresh Food,2025-01-03,1,0.59,0.59,Premium Shopper,41-60,Silver,East,Eastpark,Card,3,10.39,Small
T00004,C029,P006,Carrots,Produce,Fresh Food,2025-01-03,2,0.85,1.7,Premium Shopper,41-60,Silver,East,Eastpark,Card,3,10.39,Small
T00004,C029,P049,Toothpaste,Personal Care,Non-Food,2025-01-03,3,2.7,8.1,Premium Shopper,41-60,Silver,East,Eastpark,Card,3,10.39,Small
T00018,C053,P002,Apples,Produce,Fresh Food,2025-01-03,1,1.2,1.2,Senior,60+,Not Enrolled,South,Riverside,Mobile,2,6.6,Small
T00018,C053,P003,Tomatoes,Produce,Fresh Food,2025-01-03,3,1.8,5.4,Senior,60+,Not Enrolled,South,Riverside,Mobile,2,6.6,Small
T00007,C005,P023,Coffee Beans,Beverages,Grocery,2025-01-06,2,8.9,17.8,Young Singles,26-40,Not Enrolled,South,Eastpark,Card,4,38.8,Large
T00007,C005,P035,Sugar,Pantry,Grocery,2025-01-06,4,2.1,8.4,Young Singles,26-40,Not Enrolled,South,Eastpark,Card,4,38.8,Large
T00007,C005,P038,Peanut Butter,Pantry,Grocery,2025-01-06,2,3.5,7.0,Young Singles,26-40,Not Enrolled,South,Eastpark,Card,4,38.8,Large
T00007,C005,P039,Jam,Pantry,Grocery,2025-01-06,2,2.8,5.6,Young Singles,26-40,Not Enrolled,South,Eastpark,Card,4,38.8,Large
T00016,C040,P019,Bacon,Meat,Fresh Food,2025-01-06,1,5.4,5.4,Premium Shopper,41-60,Not Enrolled,Central,Eastpark,Card,1,5.4,Single
T00013,C053,P005,Onions,Produce,Fresh Food,2025-01-07,5,0.9,4.5,Senior,60+,Not Enrolled,South,Westgate,Card,5,49.8,Large
T00013,C053,P011,Butter,Dairy,Fresh Food,2025-01-07,5,3.8,19.0,Senior,60+,Not Enrolled,South,Westgate,Card,5,49.8,Large
T00013,C053,P013,White Bread,Bakery,Fresh Food,2025-01-07,5,1.9,9.5,Senior,60+,Not Enrolled,South,Westgate,Card,5,49.8,Large
T00013,C053,P015,Bagels,Bakery,Fresh Food,2025-01-07,2,2.8,5.6,Senior,60+,Not Enrolled,South,Westgate,Card,5,49.8,Large
T00013,C053,P039,Jam,Pantry,Grocery,2025-01-07,4,2.8,11.2,Senior,60+,Not Enrolled,South,Westgate,Card,5,49.8,Large
T00142,C033,P007,Avocado,Produce,Fresh Food,2025-01-07,1,1.5,1.5,Premium Shopper,41-60,Not Enrolled,Central,Westgate,Mobile,3,11.7,Small
T00142,C033,P008,Whole Milk,Dairy,Fresh Food,2025-01-07,3,2.1,6.3,Premium Shopper,41-60,Not Enrolled,Central,Westgate,Mobile,3,11.7,Small
T00142,C033,P034,Cereal,Pantry,Grocery,2025-01-07,1,3.9,3.9,Premium Shopper,41-60,Not Enrolled,Central,Westgate,Mobile,3,11.7,Small
T00014,C003,P008,Whole Milk,Dairy,Fresh Food,2025-01-09,1,2.1,2.1,Student,18-25,Silver,Central,Downtown,Cash,4,16.2,Large
T00014,C003,P028,Cookies,Snacks,Grocery,2025-01-09,1,2.9,2.9,Student,18-25,Silver,Central,Downtown,Cash,4,16.2,Large
T00014,C003,P033,Rice,Pantry,Grocery,2025-01-09,2,4.2,8.4,Student,18-25,Silver,Central,Downtown,Cash,4,16.2,Large
T00014,C003,P039,Jam,Pantry,Grocery,2025-01-09,1,2.8,2.8,Student,18-25,Silver,Central,Downtown,Cash,4,16.2,Large
T00003,C028,P004,Lettuce,Produce,Fresh Food,2025-01-12,2,1.4,2.8,Budget Shopper,26-40,Not Enrolled,South,Westgate,Cash,4,14.2,Large
T00003,C028,P007,Avocado,Produce,Fresh Food,2025-01-12,1,1.5,1.5,Budget Shopper,26-40,Not Enrolled,South,Westgate,Cash,4,14.2,Large
T00003,C028,P026,Potato Chips,Snacks,Grocery,2025-01-12,3,2.5,7.5,Budget Shopper,26-40,Not Enrolled,South,Westgate,Cash,4,14.2,Large
T00003,C028,P042,Frozen Vegetables,Frozen,Grocery,2025-01-12,1,2.4,2.4,Budget Shopper,26-40,Not Enrolled,South,Westgate,Cash,4,14.2,Large
T00001,C043,P011,Butter,Dairy,Fresh Food,2025-01-13,1,3.8,3.8,Student,18-25,Bronze,East,Hilltop,Card,2,9.4,Small
T00001,C043,P015,Bagels,Bakery,Fresh Food,2025-01-13,2,2.8,5.6,Student,18-25,Bronze,East,Hilltop,Card,2,9.4,Small
T00005,C001,P028,Cookies,Snacks,Grocery,2025-01-13,5,2.9,14.5,Student,18-25,Not Enrolled,East,Westgate,Card,3,25.6,Small
T00005,C001,P045,Dish Soap,Household,Non-Food,2025-01-13,1,2.9,2.9,Student,18-25,Not Enrolled,East,Westgate,Card,3,25.6,Small
T00005,C001,P047,Trash Bags,Household,Non-Food,2025-01-13,2,4.1,8.2,Student,18-25,Not Enrolled,East,Westgate,Card,3,25.6,Small
T00008,C009,P001,Bananas,Produce,Fresh Food,2025-01-13,2,0.59,1.18,Senior,60+,Silver,North,Hilltop,Cash,6,29.18,Large
T00008,C009,P005,Onions,Produce,Fresh Food,2025-01-13,5,0.9,4.5,Senior,60+,Silver,North,Hilltop,Cash,6,29.18,Large
T00008,C009,P007,Avocado,Produce,Fresh Food,2025-01-13,2,1.5,3.0,Senior,60+,Silver,North,Hilltop,Cash,6,29.18,Large
T00008,C009,P030,Pretzels,Snacks,Grocery,2025-01-13,3,2.3,6.9,Senior,60+,Silver,North,Hilltop,Cash,6,29.18,Large
T00008,C009,P035,Sugar,Pantry,Grocery,2025-01-13,4,2.1,8.4,Senior,60+,Silver,North,Hilltop,Cash,6,29.18,Large
T00008,C009,P040,Frozen Pizza,Frozen,Grocery,2025-01-13,1,5.2,5.2,Senior,60+,Silver,North,Hilltop,Cash,6,29.18,Large
T00006,C048,P031,Pasta,Pantry,Grocery,2025-01-19,5,1.5,7.5,Student,18-25,Bronze,South,Eastpark,Card,2,15.6,Small
T00006,C048,P032,Pasta Sauce,Pantry,Grocery,2025-01-19,3,2.7,8.1,Student,18-25,Bronze,South,Eastpark,Card,2,15.6,Small
T00017,C042,P023,Coffee Beans,Beverages,Grocery,2025-01-20,2,8.9,17.8,Student,18-25,Silver,East,Hilltop,Cash,2,20.8,Small
T00017,C042,P031,Pasta,Pantry,Grocery,2025-01-20,2,1.5,3.0,Student,18-25,Silver,East,Hilltop,Cash,2,20.8,Small
T00002,C041,P005,Onions,Produce,Fresh Food,2025-01-23,2,0.9,1.8,Young Singles,26-40,Silver,North,Downtown,Card,5,32.6,Large
T00002,C041,P016,Croissant,Bakery,Fresh Food,2025-01-23,2,3.1,6.2,Young Singles,26-40,Silver,North,Downtown,Card,5,32.6,Large
T00002,C041,P018,Ground Beef,Meat,Fresh Food,2025-01-23,2,7.2,14.4,Young Singles,26-40,Silver,North,Downtown,Card,5,32.6,Large
T00002,C041,P033,Rice,Pantry,Grocery,2025-01-23,1,4.2,4.2,Young Singles,26-40,Silver,North,Downtown,Card,5,32.6,Large
T00002,C041,P043,Frozen Fries,Frozen,Grocery,2025-01-23,2,3.0,6.0,Young Singles,26-40,Silver,North,Downtown,Card,5,32.6,Large
T00015,C048,P020,Cola,Beverages,Grocery,2025-01-24,1,1.6,1.6,Student,18-25,Bronze,South,Riverside,Card,5,28.7,Large
T00015,C048,P022,Sparkling Water,Beverages,Grocery,2025-01-24,1,1.1,1.1,Student,18-25,Bronze,South,Riverside,Card,5,28.7,Large
T00015,C048,P024,Tea Bags,Beverages,Grocery,2025-01-24,2,3.6,7.2,Student,18-25,Bronze,South,Riverside,Card,5,28.7,Large
T00015,C048,P035,Sugar,Pantry,Grocery,2025-01-24,4,2.1,8.4,Student,18-25,Bronze,South,Riverside,Card,5,28.7,Large
T00015,C048,P040,Frozen Pizza,Frozen,Grocery,2025-01-24,2,5.2,10.4,Student,18-25,Bronze,South,Riverside,Card,5,28.7,Large
T00012,C036,P016,Croissant,Bakery,Fresh Food,2025-01-25,2,3.1,6.2,Premium Shopper,41-60,Bronze,North,Westgate,Voucher,6,49.0,Large
T00012,C036,P020,Cola,Beverages,Grocery,2025-01-25,1,1.6,1.6,Premium Shopper,41-60,Bronze,North,Westgate,Voucher,6,49.0,Large
T00012,C036,P023,Coffee Beans,Beverages,Grocery,2025-01-25,3,8.9,26.7,Premium Shopper,41-60,Bronze,North,Westgate,Voucher,6,49.0,Large
T00012,C036,P024,Tea Bags,Beverages,Grocery,2025-01-25,2,3.6,7.2,Premium Shopper,41-60,Bronze,North,Westgate,Voucher,6,49.0,Large
T00012,C036,P035,Sugar,Pantry,Grocery,2025-01-25,1,2.1,2.1,Premium Shopper,41-60,Bronze,North,Westgate,Voucher,6,49.0,Large
T00012,C036,P040,Frozen Pizza,Frozen,Grocery,2025-01-25,1,5.2,5.2,Premium Shopper,41-60,Bronze,North,Westgate,Voucher,6,49.0,Large
T00011,C045,P003,Tomatoes,Produce,Fresh Food,2025-01-29,1,1.8,1.8,Student,18-25,Silver,East,Riverside,Cash,4,31.0,Large
T00011,C045,P009,Cheddar Cheese,Dairy,Fresh Food,2025-01-29,3,4.5,13.5,Student,18-25,Silver,East,Riverside,Cash,4,31.0,Large
T00011,C045,P010,Greek Yogurt,Dairy,Fresh Food,2025-01-29,4,3.2,12.8,Student,18-25,Silver,East,Riverside,Cash,4,31.0,Large
T00011,C045,P028,Cookies,Snacks,Grocery,2025-01-29,1,2.9,2.9,Student,18-25,Silver,East,Riverside,Cash,4,31.0,Large
T00022,C009,P005,Onions,Produce,Fresh Food,2025-02-03,3,0.9,2.7,Senior,60+,Silver,North,Riverside,Card,4,12.7,Large
T00022,C009,P022,Sparkling Water,Beverages,Grocery,2025-02-03,1,1.1,1.1,Senior,60+,Silver,North,Riverside,Card,4,12.7,Large
T00022,C009,P027,Chocolate Bar,Snacks,Grocery,2025-02-03,2,1.3,2.6,Senior,60+,Silver,North,Riverside,Card,4,12.7,Large
T00022,C009,P035,Sugar,Pantry,Grocery,2025-02-03,3,2.1,6.3,Senior,60+,Silver,North,Riverside,Card,4,12.7,Large
T00032,C019,P008,Whole Milk,Dairy,Fresh Food,2025-02-03,1,2.1,2.1,Young Singles,26-40,Silver,North,Riverside,Card,4,30.9,Large
T00032,C019,P024,Tea Bags,Beverages,Grocery,2025-02-03,2,3.6,7.2,Young Singles,26-40,Silver,North,Riverside,Card,4,30.9,Large
T00032,C019,P034,Cereal,Pantry,Grocery,2025-02-03,5,3.9,19.5,Young Singles,26-40,Silver,North,Riverside,Card,4,30.9,Large
T00032,C019,P035,Sugar,Pantry,Grocery,2025-02-03,1,2.1,2.1,Young Singles,26-40,Silver,North,Riverside,Card,4,30.9,Large
T00035,C053,P004,Lettuce,Produce,Fresh Food,2025-02-04,3,1.4,4.2,Senior,60+,Not Enrolled,South,Downtown,Card,4,14.4,Large
T00035,C053,P010,Greek Yogurt,Dairy,Fresh Food,2025-02-04,2,3.2,6.4,Senior,60+,Not Enrolled,South,Downtown,Card,4,14.4,Large
T00035,C053,P020,Cola,Beverages,Grocery,2025-02-04,1,1.6,1.6,Senior,60+,Not Enrolled,South,Downtown,Card,4,14.4,Large
T00035,C053,P037,Canned Beans,Pantry,Grocery,2025-02-04,2,1.1,2.2,Senior,60+,Not Enrolled,South,Downtown,Card,4,14.4,Large
T00034,C018,P009,Cheddar Cheese,Dairy,Fresh Food,2025-02-05,1,4.5,4.5,Young Singles,26-40,Bronze,East,Downtown,Voucher,4,14.5,Large
T00034,C018,P032,Pasta Sauce,Pantry,Grocery,2025-02-05,1,2.7,2.7,Young Singles,26-40,Bronze,East,Downtown,Voucher,4,14.5,Large
T00034,C018,P041,Ice Cream,Frozen,Grocery,2025-02-05,1,4.6,4.6,Young Singles,26-40,Bronze,East,Downtown,Voucher,4,14.5,Large
T00034,C018,P049,Toothpaste,Personal Care,Non-Food,2025-02-05,1,2.7,2.7,Young Singles,26-40,Bronze,East,Downtown,Voucher,4,14.5,Large
T00031,C023,P001,Bananas,Produce,Fresh Food,2025-02-07,3,0.59,1.77,Premium Shopper,41-60,Bronze,Central,Hilltop,Card,4,35.67,Large
T00031,C023,P018,Ground Beef,Meat,Fresh Food,2025-02-07,2,7.2,14.4,Premium Shopper,41-60,Bronze,Central,Hilltop,Card,4,35.67,Large
T00031,C023,P034,Cereal,Pantry,Grocery,2025-02-07,1,3.9,3.9,Premium Shopper,41-60,Bronze,Central,Hilltop,Card,4,35.67,Large
T00031,C023,P036,Olive Oil,Pantry,Grocery,2025-02-07,2,7.8,15.6,Premium Shopper,41-60,Bronze,Central,Hilltop,Card,4,35.67,Large
T00026,C013,P008,Whole Milk,Dairy,Fresh Food,2025-02-08,2,2.1,4.2,Senior,60+,Silver,Central,Downtown,Cash,3,12.1,Small
T00026,C013,P014,Whole Wheat Bread,Bakery,Fresh Food,2025-02-08,1,2.4,2.4,Senior,60+,Silver,Central,Downtown,Cash,3,12.1,Small
T00026,C013,P037,Canned Beans,Pantry,Grocery,2025-02-08,5,1.1,5.5,Senior,60+,Silver,Central,Downtown,Cash,3,12.1,Small
T00205,C025,P007,Avocado,Produce,Fresh Food,2025-02-09,3,1.5,4.5,Budget Shopper,26-40,Not Enrolled,Central,Westgate,Mobile,5,42.5,Large
T00205,C025,P023,Coffee Beans,Beverages,Grocery,2025-02-09,3,8.9,26.7,Budget Shopper,26-40,Not Enrolled,Central,Westgate,Mobile,5,42.5,Large
T00205,C025,P025,Energy Drink,Beverages,Grocery,2025-02-09,2,2.2,4.4,Budget Shopper,26-40,Not Enrolled,Central,Westgate,Mobile,5,42.5,Large
T00205,C025,P032,Pasta Sauce,Pantry,Grocery,2025-02-09,1,2.7,2.7,Budget Shopper,26-40,Not Enrolled,Central,Westgate,Mobile,5,42.5,Large
T00205,C025,P035,Sugar,Pantry,Grocery,2025-02-09,2,2.1,4.2,Budget Shopper,26-40,Not Enrolled,Central,Westgate,Mobile,5,42.5,Large
T00028,C026,P007,Avocado,Produce,Fresh Food,2025-02-13,1,1.5,1.5,Family,41-60,Silver,North,Riverside,Card,4,18.4,Large
T00028,C026,P020,Cola,Beverages,Grocery,2025-02-13,1,1.6,1.6,Family,41-60,Silver,North,Riverside,Card,4,18.4,Large
T00028,C026,P045,Dish Soap,Household,Non-Food,2025-02-13,3,2.9,8.7,Family,41-60,Silver,North,Riverside,Card,4,18.4,Large
T00028,C026,P050,Hand Soap,Personal Care,Non-Food,2025-02-13,3,2.2,6.6,Family,41-60,Silver,North,Riverside,Card,4,18.4,Large
T00019,C057,P010,Greek Yogurt,Dairy,Fresh Food,2025-02-14,3,3.2,9.6,Student,18-25,Bronze,Central,Eastpark,Card,3,23.7,Small
T00019,C057,P016,Croissant,Bakery,Fresh Food,2025-02-14,3,3.1,9.3,Student,18-25,Bronze,Central,Eastpark,Card,3,23.7,Small
T00019,C057,P042,Frozen Vegetables,Frozen,Grocery,2025-02-14,2,2.4,4.8,Student,18-25,Bronze,Central,Eastpark,Card,3,23.7,Small
T00025,C017,P023,Coffee Beans,Beverages,Grocery,2025-02-14,1,8.9,8.9,Senior,60+,Bronze,North,Downtown,Cash,2,11.0,Small
T00025,C017,P035,Sugar,Pantry,Grocery,2025-02-14,1,2.1,2.1,Senior,60+,Bronze,North,Downtown,Cash,2,11.0,Small
T00036,C020,P007,Avocado,Produce,Fresh Food,2025-02-15,1,1.5,1.5,Budget Shopper,26-40,Not Enrolled,East,Eastpark,Voucher,4,19.7,Large
T00036,C020,P014,Whole Wheat Bread,Bakery,Fresh Food,2025-02-15,1,2.4,2.4,Budget Shopper,26-40,Not Enrolled,East,Eastpark,Voucher,4,19.7,Large
T00036,C020,P040,Frozen Pizza,Frozen,Grocery,2025-02-15,2,5.2,10.4,Budget Shopper,26-40,Not Enrolled,East,Eastpark,Voucher,4,19.7,Large
T00036,C020,P049,Toothpaste,Personal Care,Non-Food,2025-02-15,2,2.7,5.4,Budget Shopper,26-40,Not Enrolled,East,Eastpark,Voucher,4,19.7,Large
T00021,C029,P008,Whole Milk,Dairy,Fresh Food,2025-02-16,1,2.1,2.1,Premium Shopper,41-60,Silver,East,Hilltop,Mobile,3,10.4,Small
T00021,C029,P034,Cereal,Pantry,Grocery,2025-02-16,1,3.9,3.9,Premium Shopper,41-60,Silver,East,Hilltop,Mobile,3,10.4,Small
T00021,C029,P050,Hand Soap,Personal Care,Non-Food,2025-02-16,2,2.2,4.4,Premium Shopper,41-60,Silver,East,Hilltop,Mobile,3,10.4,Small
T00029,C042,P024,Tea Bags,Beverages,Grocery,2025-02-17,1,3.6,3.6,Student,18-25,Silver,East,Hilltop,Card,3,16.3,Small
T00029,C042,P028,Cookies,Snacks,Grocery,2025-02-17,2,2.9,5.8,Student,18-25,Silver,East,Hilltop,Card,3,16.3,Small
T00029,C042,P030,Pretzels,Snacks,Grocery,2025-02-17,3,2.3,6.9,Student,18-25,Silver,East,Hilltop,Card,3,16.3,Small
T00030,C050,P006,Carrots,Produce,Fresh Food,2025-02-18,3,0.85,2.55,Premium Shopper,41-60,Gold,Central,Westgate,Cash,4,41.25,Large
T00030,C050,P016,Croissant,Bakery,Fresh Food,2025-02-18,1,3.1,3.1,Premium Shopper,41-60,Gold,Central,Westgate,Cash,4,41.25,Large
T00030,C050,P018,Ground Beef,Meat,Fresh Food,2025-02-18,4,7.2,28.8,Premium Shopper,41-60,Gold,Central,Westgate,Cash,4,41.25,Large
T00030,C050,P021,Orange Juice,Beverages,Grocery,2025-02-18,2,3.4,6.8,Premium Shopper,41-60,Gold,Central,Westgate,Cash,4,41.25,Large
T00023,C025,P027,Chocolate Bar,Snacks,Grocery,2025-02-19,4,1.3,5.2,Budget Shopper,26-40,Not Enrolled,Central,Westgate,Card,4,17.7,Large
T00023,C025,P035,Sugar,Pantry,Grocery,2025-02-19,1,2.1,2.1,Budget Shopper,26-40,Not Enrolled,Central,Westgate,Card,4,17.7,Large
T00023,C025,P039,Jam,Pantry,Grocery,2025-02-19,2,2.8,5.6,Budget Shopper,26-40,Not Enrolled,Central,Westgate,Card,4,17.7,Large
T00023,C025,P048,Shampoo,Personal Care,Non-Food,2025-02-19,1,4.8,4.8,Budget Shopper,26-40,Not Enrolled,Central,Westgate,Card,4,17.7,Large
T00033,C035,P008,Whole Milk,Dairy,Fresh Food,2025-02-24,1,2.1,2.1,Senior,60+,Not Enrolled,South,Riverside,Card,3,23.5,Small
T00033,C035,P034,Cereal,Pantry,Grocery,2025-02-24,1,3.9,3.9,Senior,60+,Not Enrolled,South,Riverside,Card,3,23.5,Small
