CustomerID,CustomerSegment,AgeGroup,LoyaltyTier,Region,IsLoyal
C001,Student,18-25,Not Enrolled,East,0
C002,Family,41-60,Not Enrolled,North,0
C003,Student,18-25,Silver,Central,1
C004,Young Singles,26-40,Bronze,North,1
C005,Young Singles,26-40,Not Enrolled,South,0
C006,Premium Shopper,41-60,Bronze,Central,1
C007,Family,41-60,Silver,Central,1
C008,Budget Shopper,26-40,Not Enrolled,Central,0
C009,Senior,60+,Silver,North,1
C010,Family,41-60,Silver,East,1
C011,Senior,60+,Not Enrolled,East,0
C012,Young Singles,26-40,Not Enrolled,North,0
C013,Senior,60+,Silver,Central,1
C014,Senior,60+,Silver,West,1
C015,Premium Shopper,41-60,Not Enrolled,West,0
C016,Young Singles,26-40,Bronze,Central,1
C017,Senior,60+,Bronze,North,1
C018,Young Singles,26-40,Bronze,East,1
C019,Young Singles,26-40,Silver,North,1
C020,Budget Shopper,26-40,Not Enrolled,East,0
C021,Family,41-60,Bronze,South,1
C022,Student,18-25,Not Enrolled,North,0
C023,Premium Shopper,41-60,Bronze,Central,1
C024,Student,18-25,Not Enrolled,West,0
C025,Budget Shopper,26-40,Not Enrolled,Central,0
C026,Family,41-60,Silver,North,1
C027,Family,41-60,Silver,East,1
C028,Budget Shopper,26-40,Not Enrolled,South,0
C029,Premium Shopper,41-60,Silver,East,1
C030,Family,41-60,Bronze,West,1
C031,Student,18-25,Bronze,East,1
C032,Family,41-60,Not Enrolled,Central,0
C033,Premium Shopper,41-60,Not Enrolled,Central,0
C034,Budget Shopper,26-40,Gold,West,1
C035,Senior,60+,Not Enrolled,South,0
C036,Premium Shopper,41-60,Bronze,North,1
C037,Young Singles,26-40,Not Enrolled,South,0
C038,Student,18-25,Bronze,North,1
C039,Budget Shopper,26-40,Bronze,West,1
C040,Premium Shopper,41-60,Not Enrolled,Central,0
C041,Young Singles,26-40,Silver,North,1
C042,Student,18-25,Silver,East,1
C043,Student,18-25,Bronze,East,1
C044,Budget Shopper,26-40,Not Enrolled,North,0
C045,Student,18-25,Silver,East,1
C046,Premium Shopper,41-60,Silver,Central,1
C047,Young Singles,26-40,Silver,East,1
C048,Student,18-25,Bronze,South,1
C049,Family,41-60,Bronze,South,1
C050,Premium Shopper,41-60,Gold,Central,1
C051,Young Singles,26-40,Bronze,West,1
C052,Young Singles,26-40,Not Enrolled,East,0
C053,Senior,60+,Not Enrolled,South,0
C054,Premium Shopper,41-60,Gold,North,1
C055,Student,18-25,Bronze,North,1
C056,Premium Shopper,41-60,Silver,South,1
C057,Student,18-25,Bronze,Central,1
C058,Family,41-60,Not Enrolled,Central,0
C059,Budget Shopper,26-40,Gold,Central,1
C060,Student,18-25,Silver,East,1
