ProductID,ProductName,Category,Department,UnitPrice,PriceTier
P001,Bananas,Produce,Fresh Food,0.59,Low
P002,Apples,Produce,Fresh Food,1.2,Low
P003,Tomatoes,Produce,Fresh Food,1.8,Low
P004,Lettuce,Produce,Fresh Food,1.4,Low
P005,Onions,Produce,Fresh Food,0.9,Low
P006,Carrots,Produce,Fresh Food,0.85,Low
P007,Avocado,Produce,Fresh Food,1.5,Low
P008,Whole Milk,Dairy,Fresh Food,2.1,Medium
P009,Cheddar Cheese,Dairy,Fresh Food,4.5,Medium
P010,Greek Yogurt,Dairy,Fresh Food,3.2,Medium
P011,Butter,Dairy,Fresh Food,3.8,Medium
P012,Eggs,Dairy,Fresh Food,2.6,Medium
P013,White Bread,Bakery,Fresh Food,1.9,Low
P014,Whole Wheat Bread,Bakery,Fresh Food,2.4,Medium
P015,Bagels,Bakery,Fresh Food,2.8,Medium
P016,Croissant,Bakery,Fresh Food,3.1,Medium
P017,Chicken Breast,Meat,Fresh Food,6.5,Premium
P018,Ground Beef,Meat,Fresh Food,7.2,Premium
P019,Bacon,Meat,Fresh Food,5.4,Premium
P020,Cola,Beverages,Grocery,1.6,Low
P021,Orange Juice,Beverages,Grocery,3.4,Medium
P022,Sparkling Water,Beverages,Grocery,1.1,Low
P023,Coffee Beans,Beverages,Grocery,8.9,Premium
P024,Tea Bags,Beverages,Grocery,3.6,Medium
P025,Energy Drink,Beverages,Grocery,2.2,Medium
P026,Potato Chips,Snacks,Grocery,2.5,Medium
P027,Chocolate Bar,Snacks,Grocery,1.3,Low
P028,Cookies,Snacks,Grocery,2.9,Medium
P029,Popcorn,Snacks,Grocery,2.0,Low
P030,Pretzels,Snacks,Grocery,2.3,Medium
P031,Pasta,Pantry,Grocery,1.5,Low
P032,Pasta Sauce,Pantry,Grocery,2.7,Medium
P033,Rice,Pantry,Grocery,4.2,Medium
P034,Cereal,Pantry,Grocery,3.9,Medium
P035,Sugar,Pantry,Grocery,2.1,Medium
P036,Olive Oil,Pantry,Grocery,7.8,Premium
P037,Canned Beans,Pantry,Grocery,1.1,Low
P038,Peanut Butter,Pantry,Grocery,3.5,Medium
P039,Jam,Pantry,Grocery,2.8,Medium
P040,Frozen Pizza,Frozen,Grocery,5.2,Premium
P041,Ice Cream,Frozen,Grocery,4.6,Medium
P042,Frozen Vegetables,Frozen,Grocery,2.4,Medium
P043,Frozen Fries,Frozen,Grocery,3.0,Medium
P044,Paper Towels,Household,Non-Food,5.5,Premium
P045,Dish Soap,Household,Non-Food,2.9,Medium
P046,Laundry Detergent,Household,Non-Food,9.4,Premium
P047,Trash Bags,Household,Non-Food,4.1,Medium
P048,Shampoo,Personal Care,Non-Food,4.8,Medium
P049,Toothpaste,Personal Care,Non-Food,2.7,Medium
P050,Hand Soap,Personal Care,Non-Food,2.2,Medium
